idweb,dateparution,datelimitereponse,dept,code_departement,nomacheteur,type_acheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,filename,source_schema,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,vrai_conforme,faux_conforme,url_avis,url_pdf
26-81294,2026-08-18,2026-09-25 12:00:00,35,['35'],Établissement Public Foncier de Bretagne,Autre,Gestion et évacuation contrôlée des terres polluées et.ou non inertes sis Rue de l'Evinais à PLANCOET (22130).,dépollution,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81294,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81294,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81294.pdf
26-81296,2026-08-18,2026-09-28 12:00:00,62,"['62', '59', '60', '2', '80']",SGAMI NORD,Autre,Travaux de création d'une salle d'audience au Centre de rétention administrative de Coquelles (62).,"gros oeuvre, plâtrerie, peinture (travaux), electricité (travaux), plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81296,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81296,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81296.pdf
26-81376,2026-08-18,2026-09-24 12:00:00,976,['976'],Département de Mayotte,Département,TRAVAUX DE RESTAURATION DE L'ANCIENNE CASERNE DE DZAOUDZI-MONUMENT HISTORIQUE,"charpente, electricité (travaux), plomberie (travaux), tous corps d'état, démolition",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81376,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81376,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81376.pdf
26-81392,2026-08-18,2026-09-14 17:00:00,62,"['62', '59']",Mairie De Boulogne Sur Mer,Ville,Travaux de charpente et gros oeuvre suite à la découverte de mérule au bâtiment Florian à Boulogne-sur-Mer,"charpente, gros oeuvre",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81392,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81392,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81392.pdf
26-81365,2026-08-18,2026-10-12 12:00:00,52,['52'],Communauté d'agglomération Grand Saint-Dizier Der et Vallées,Agglomération,Réalisation d’un forage d’exploitation pour la sécurisation de la ressource en eau potable de Montier-en-Der-.,ouvrage d'infrastructure,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81365,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81365,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81365.pdf
26-80969,2026-08-18,,93,"['93', '92', '91', '75']",EPS DE VILLE EVRARD - Etablissement Public de Santé de Ville Evrard,Ville,Travaux d'entretien et de réparations courantes pour l'EPS de VILLE-EVRARD.,tous corps d'état,Marchés européens,Procédure Ouverte,Résultat de marché,26-80969,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-80969,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-80969.pdf
26-81429,2026-08-18,2026-09-11 17:00:00,16,['16'],Conseil Départemental de la Charente,Département,Réfection des toitures terrasses au collège Pierre Bodet à ANGOULEME,"etanchéité, terrasse",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,26-81429,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81429,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81429.pdf
26-81352,2026-08-18,2026-09-28 12:00:00,83,['83'],Commune de Bagnols en Forêt (83),Ville,"Réalisation d'un centre de loisirs sans hébergement 
Lot 12 : Equipements de cuisine",cuisine (équipement),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81352,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81352,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81352.pdf
26-81397,2026-08-18,,94,['94'],Mairie Charenton Le Pont,Ville,Travaux de requalification du quartier Liberté - Place de la Coupole,voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-81397,3.2.5,3,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81397,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81397.pdf
26-81372,2026-08-18,2026-09-16 12:00:00,33,['33'],COMMUNE DE PODENSAC,Ville,TRAVAUX DIVERS DE VOIRIE ET AMENAGEMENT URBAIN,"voirie, mobilier urbain",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,26-81372,3.2.5,3,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81372,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81372.pdf
26-81484,2026-08-18,2026-09-18 16:00:00,76,"['76', '27', '14', '80']",Grand port fluvio maritime de l'axe Seine - Direction territoriale de Rouen,Autre,Création d'une voirie le long du pont de Normandie,voirie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81484,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81484,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81484.pdf
26-81402,2026-08-18,,08,"['8', '10', '51', '52', '55', '57', '67', '68', '88']",SGAMI Est DAGF BCP,Autre,Remplacement des canalisations de gaz enterrées de l'Escadron de gendarmerie mobile (11/7) de Belleville sur Meuse (55),"electricité, gaz (fourniture)",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-81402,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81402,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81402.pdf
26-81336,2026-08-18,2026-10-02 12:00:00,30,"['30', '84']",Commune de Rochefort du Gard,Ville,Marché de rénovation et maintenance des installations d'éclairage public et de signalisation lumineuse tricolore,eclairage public,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81336,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81336,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81336.pdf
26-81248,2026-08-18,,81,['81'],Departement Du Tarn,Département,Rd85 Rénovation des chaussées Pr25+750 à Pr29+490,"electricité (travaux), terrassement, voirie",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-81248,3.2.5,3,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81248,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81248.pdf
26-81249,2026-08-18,2026-09-28 12:00:00,30,['30'],SDIS du Gard (30),Autre,Réfection de la cuisine du CIS de Nîmes centre,démolition,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81249,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81249,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81249.pdf
26-81194,2026-08-18,2026-09-21 16:00:00,59,"['59', '62']",Mairie de Flines-Lez-Raches,Ville,Rénovation de la mairie de Flines-Lez-Raches,"carrelage, charpente, chauffage (travaux), couverture, démolition, electricité (travaux), etanchéité, gros oeuvre, menuiserie, peinture (travaux), plomberie (travaux), sanitaire, ventilation",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81194,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81194,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81194.pdf
26-81233,2026-08-18,2026-09-30 12:00:00,82,['82'],Mairie de Castelsarrasin,Ville,Travaux d'assainissement et de mise hors d'eau du clocher et du pignon ouest de l'église Saint-Sauveur,"echafaudage, clocher",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81233,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81233,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81233.pdf
26-81275,2026-08-18,2026-09-25 12:00:00,21,"['21', '58', '71', '89']",PFRA BFC,Autre,Travaux d'aménagement RDC PREF 58,"chauffage (travaux), electricité (travaux), peinture (travaux), plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81275,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81275,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81275.pdf
26-80966,2026-08-18,2026-09-11 14:00:00,64,['64'],Département des Pyrénées-Atlantiques,Département,Fourniture et mise en œuvre de bétons bitumineux pour le Département des Pyrénées-Atlantiques,ouvrage d'infrastructure,Marchés européens,Procédure Ouverte,Avis de marché,26-80966,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-80966,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-80966.pdf
26-80998,2026-08-18,,69,['69'],Ville de Vénissieux,Ville,"La présente consultation concerne les prestations suivantes :
- Démolition/reconstruction du groupe scolaire CHARLES PERRAULT","electricité (travaux), gros oeuvre, menuiserie, peinture (travaux)",Marchés européens,Procédure Ouverte,Résultat de marché,26-80998,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-80998,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-80998.pdf
26-81269,2026-08-18,2026-09-25 10:00:00,30,['30'],Commune de Nîmes,Ville,"Voie Urbaine Sud - Giratoire Pont des îles, Tronçons 4 et 6 - Lot 3 : Aménagement paysagers",espaces verts,Marchés européens,Procédure Ouverte,Avis de marché,26-81269,3.2.5,1,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81269,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81269.pdf
26-81195,2026-08-18,2026-09-30 12:00:00,49,['49'],Angers Loire Metropole (49),Agglomération,Travaux de fourniture et pose de glissières de sécurité métal-bois pour l’aménagement cyclable GO 08 Angers/ Verrières-en-Anjou,"matériel de sécurité, glissières de sécurité",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-81195,3.2.5,0,False,True,aménagement cyclable,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-81195,https://www.boamp.fr/telechargements/FILES/PDF/2026/08/26-81195.pdf
